User ID,Asset ID,Category,Trigger,Timestamp
3165,77,Feedback,"New Asset, No Feedback",2023-08-10 09:27:16.417511
3140,175,Feedback,"New Asset, No Feedback",2023-08-10 09:15:40.417511
3214,240,Onboarding,Signup-Login,2023-08-10 09:26:38.417511
3148,203,Onboarding,Signup-Login,2023-08-10 09:13:48.417511
3075,241,Feedback,"New Asset, No Feedback",2023-08-10 09:19:55.417511
3296,4,Onboarding,Signup-Login,2023-08-10 09:16:35.417511
3035,309,Onboarding,Signup-Login,2023-08-10 09:24:52.417511
3129,101,Feedback,Frequent Portal Usage,2023-08-10 09:17:31.417511
3036,266,Feedback,Used New Asset,2023-08-10 09:27:52.417511
3036,9,Feedback,Used An Asset,2023-08-10 09:27:33.417511
3298,97,Feedback,Used New Asset,2023-08-10 09:28:12.417511
3204,38,Engagement,Long User Inactivity,2023-08-10 09:18:22.417511
3043,12,Engagement,"Used, No Feedback",2023-08-10 09:27:17.417511
3294,267,Feedback,"New Asset, No Feedback",2023-08-10 09:28:37.417511
3104,306,Engagement,"Used, No Feedback",2023-08-10 09:14:36.417511
3226,197,Engagement,New Assets Added,2023-08-10 09:30:10.417511
3075,249,Feedback,"New Asset, No Feedback",2023-08-10 09:12:59.417511
3089,116,Onboarding,Signup-Login,2023-08-10 09:13:59.417511
3279,77,Engagement,"Used, No Feedback",2023-08-10 09:16:08.417511
3076,102,Onboarding,Signup-Login,2023-08-10 09:27:28.417511
3160,193,Engagement,Near Top Contributor,2023-08-10 09:25:28.417511
3062,158,Onboarding,Signup-Login,2023-08-10 09:17:02.417511
3011,170,Onboarding,Signup-Login,2023-08-10 09:26:02.417511
3092,310,Engagement,"Used, No Feedback",2023-08-10 09:24:24.417511
3183,76,Engagement,"Used, No Feedback",2023-08-10 09:19:01.417511
3074,200,Onboarding,Signup-Login,2023-08-10 09:15:33.417511
3005,130,Feedback,Used New Asset,2023-08-10 09:12:58.417511
3220,145,Feedback,Negative Feedback Given,2023-08-10 09:16:12.417511
3150,261,Feedback,Frequent Portal Usage,2023-08-10 09:30:02.417511
3055,173,Feedback,"New Asset, No Feedback",2023-08-10 09:25:31.417511
3009,264,Onboarding,Signup-Login,2023-08-10 09:32:27.417511
3047,239,Engagement,New Assets Added,2023-08-10 09:20:43.417511
3162,78,Engagement,New Assets Added,2023-08-10 09:29:22.417511
3093,16,Onboarding,Signup-Login,2023-08-10 09:25:08.417511
3271,205,Engagement,Long User Inactivity,2023-08-10 09:29:46.417511
3138,227,Engagement,"Used, Not Rated",2023-08-10 09:26:41.417511
3139,217,Engagement,"Used, No Feedback",2023-08-10 09:18:31.417511
3089,207,Engagement,New Assets Added,2023-08-10 09:13:41.417511
3162,301,Engagement,Near Top Contributor,2023-08-10 09:28:40.417511
3156,77,Onboarding,Signup-Login,2023-08-10 09:26:52.417511
3266,190,Engagement,"Used, Not Rated",2023-08-10 09:31:18.417511
3070,127,Feedback,Frequent Portal Usage,2023-08-10 09:20:50.417511
3157,215,Feedback,Used New Asset,2023-08-10 09:12:37.417511
3139,126,Feedback,Negative Feedback Given,2023-08-10 09:22:25.417511
3039,9,Engagement,Near Top Contributor,2023-08-10 09:29:12.417511
3138,120,Feedback,Used New Asset,2023-08-10 09:30:51.417511
3187,205,Onboarding,Signup-Login,2023-08-10 09:24:53.417511
3011,266,Feedback,"New Asset, No Feedback",2023-08-10 09:13:01.418512
3239,262,Engagement,Near Top Contributor,2023-08-10 09:15:10.418512
3142,77,Onboarding,Signup-Login,2023-08-10 09:28:35.418512
3045,60,Onboarding,Signup-Login,2023-08-10 09:21:28.418512
3126,53,Engagement,Long User Inactivity,2023-08-10 09:28:27.418512
3094,214,Engagement,"Used, Not Rated",2023-08-10 09:22:19.418512
3071,214,Feedback,Used An Asset,2023-08-10 09:16:18.418512
3089,112,Feedback,"New Asset, No Feedback",2023-08-10 09:18:17.418512
3193,222,Feedback,Used An Asset,2023-08-10 09:13:12.418512
3226,133,Onboarding,Signup-Login,2023-08-10 09:31:09.418512
3263,21,Engagement,"Used, No Feedback",2023-08-10 09:27:22.418512
3122,202,Feedback,Negative Feedback Given,2023-08-10 09:15:09.418512
3027,167,Engagement,Long User Inactivity,2023-08-10 09:23:09.418512
3056,246,Feedback,Frequent Portal Usage,2023-08-10 09:15:50.418512
3283,186,Feedback,Used An Asset,2023-08-10 09:24:26.418512
3247,32,Feedback,Used An Asset,2023-08-10 09:30:47.418512
3182,81,Engagement,"Used, Not Rated",2023-08-10 09:15:18.418512
3291,184,Engagement,"Used, No Feedback",2023-08-10 09:22:15.418512
3098,104,Onboarding,Signup-Login,2023-08-10 09:30:53.418512
3203,117,Feedback,Negative Feedback Given,2023-08-10 09:25:50.418512
3243,205,Onboarding,Signup-Login,2023-08-10 09:19:29.418512
3209,50,Onboarding,Signup-Login,2023-08-10 09:14:47.418512
3002,277,Onboarding,Signup-Login,2023-08-10 09:19:23.418512
3187,29,Engagement,Long User Inactivity,2023-08-10 09:23:11.418512
3226,217,Engagement,"Used, No Feedback",2023-08-10 09:13:05.418512
3153,31,Engagement,"Used, No Feedback",2023-08-10 09:20:59.418512
3272,60,Feedback,"New Asset, No Feedback",2023-08-10 09:22:15.418512
3200,270,Feedback,Used New Asset,2023-08-10 09:18:43.418512
3239,191,Engagement,Near Top Contributor,2023-08-10 09:24:03.418512
3228,277,Onboarding,Signup-Login,2023-08-10 09:26:52.418512
3016,281,Feedback,Frequent Portal Usage,2023-08-10 09:27:24.418512
3180,75,Engagement,Near Top Contributor,2023-08-10 09:24:16.418512
3087,190,Feedback,Negative Feedback Given,2023-08-10 09:24:22.418512
3121,165,Engagement,"Used, No Feedback",2023-08-10 09:19:47.418512
3018,234,Engagement,Near Top Contributor,2023-08-10 09:12:33.418512
3011,210,Engagement,Long User Inactivity,2023-08-10 09:31:47.418512
3023,119,Onboarding,Signup-Login,2023-08-10 09:24:40.418512
3295,300,Feedback,Used New Asset,2023-08-10 09:19:36.418512
3170,107,Engagement,"Used, Not Rated",2023-08-10 09:24:59.418512
3253,282,Feedback,Frequent Portal Usage,2023-08-10 09:29:13.418512
3064,116,Onboarding,Signup-Login,2023-08-10 09:31:18.418512
3278,110,Engagement,New Assets Added,2023-08-10 09:14:20.418512
3235,104,Engagement,"Used, No Feedback",2023-08-10 09:20:46.418512
3220,190,Engagement,"Used, Not Rated",2023-08-10 09:30:14.418512
3070,117,Onboarding,Signup-Login,2023-08-10 09:21:21.418512
3239,225,Engagement,Long User Inactivity,2023-08-10 09:20:31.418512
3023,268,Onboarding,Signup-Login,2023-08-10 09:24:34.418512
3298,217,Onboarding,Signup-Login,2023-08-10 09:16:57.418512
3119,87,Feedback,"New Asset, No Feedback",2023-08-10 09:23:21.418512
3067,150,Onboarding,Signup-Login,2023-08-10 09:15:24.418512
3230,178,Engagement,"Used, No Feedback",2023-08-10 09:31:57.418512
3246,75,Feedback,Used New Asset,2023-08-10 09:28:56.418512
3099,27,Onboarding,Signup-Login,2023-08-10 09:18:13.418512
3217,16,Feedback,Negative Feedback Given,2023-08-10 09:15:31.418512
3071,100,Feedback,Frequent Portal Usage,2023-08-10 09:17:29.418512
3246,134,Feedback,"New Asset, No Feedback",2023-08-10 09:31:09.418512
3007,98,Engagement,New Assets Added,2023-08-10 09:23:18.418512
3237,31,Onboarding,Signup-Login,2023-08-10 09:27:38.418512
3291,162,Feedback,Frequent Portal Usage,2023-08-10 09:29:29.418512
3028,149,Feedback,Negative Feedback Given,2023-08-10 09:14:23.418512
3100,129,Feedback,"New Asset, No Feedback",2023-08-10 09:12:35.418512
3249,208,Onboarding,Signup-Login,2023-08-10 09:15:10.418512
3224,6,Feedback,"New Asset, No Feedback",2023-08-10 09:30:08.418512
3095,221,Feedback,Negative Feedback Given,2023-08-10 09:28:32.418512
3286,89,Onboarding,Signup-Login,2023-08-10 09:20:22.418512
3234,74,Engagement,Near Top Contributor,2023-08-10 09:14:53.418512
3009,79,Engagement,"Used, No Feedback",2023-08-10 09:31:24.418512
3208,14,Feedback,Frequent Portal Usage,2023-08-10 09:16:19.418512
3292,284,Onboarding,Signup-Login,2023-08-10 09:14:15.418512
3233,22,Onboarding,Signup-Login,2023-08-10 09:20:12.419510
3290,38,Feedback,Negative Feedback Given,2023-08-10 09:20:26.419510
3149,175,Onboarding,Signup-Login,2023-08-10 09:13:41.419510
3277,72,Feedback,Used An Asset,2023-08-10 09:30:34.419510
3167,295,Feedback,"New Asset, No Feedback",2023-08-10 09:20:49.419510
3057,226,Engagement,"Used, No Feedback",2023-08-10 09:32:22.419510
3171,294,Engagement,New Assets Added,2023-08-10 09:18:22.419510
3210,54,Engagement,New Assets Added,2023-08-10 09:28:03.419510
3186,97,Engagement,Long User Inactivity,2023-08-10 09:28:56.419510
3094,288,Feedback,Negative Feedback Given,2023-08-10 09:15:36.419510
3169,116,Engagement,New Assets Added,2023-08-10 09:27:59.419510
3181,126,Feedback,Used An Asset,2023-08-10 09:18:34.419510
3145,68,Engagement,"Used, Not Rated",2023-08-10 09:13:35.419510
3006,153,Engagement,"Used, No Feedback",2023-08-10 09:28:51.419510
3195,260,Engagement,"Used, Not Rated",2023-08-10 09:23:28.419510
3170,293,Engagement,Near Top Contributor,2023-08-10 09:12:35.419510
3259,81,Engagement,"Used, Not Rated",2023-08-10 09:26:52.419510
3005,133,Onboarding,Signup-Login,2023-08-10 09:26:44.419510
3288,57,Feedback,Used An Asset,2023-08-10 09:31:18.419510
3125,47,Engagement,"Used, Not Rated",2023-08-10 09:22:57.419510
3262,30,Feedback,Frequent Portal Usage,2023-08-10 09:19:22.419510
3026,260,Feedback,"New Asset, No Feedback",2023-08-10 09:28:10.419510
3046,1,Onboarding,Signup-Login,2023-08-10 09:14:36.419510
3112,161,Engagement,"Used, No Feedback",2023-08-10 09:30:27.419510
3296,219,Feedback,Used New Asset,2023-08-10 09:17:00.419510
3045,207,Engagement,Long User Inactivity,2023-08-10 09:26:53.419510
3001,225,Engagement,"Used, Not Rated",2023-08-10 09:16:18.419510
3282,273,Feedback,"New Asset, No Feedback",2023-08-10 09:23:15.419510
3123,208,Feedback,Used New Asset,2023-08-10 09:31:27.419510
3180,173,Onboarding,Signup-Login,2023-08-10 09:25:40.419510
3298,222,Onboarding,Signup-Login,2023-08-10 09:21:04.419510
3010,277,Onboarding,Signup-Login,2023-08-10 09:20:51.419510
3154,54,Feedback,Used An Asset,2023-08-10 09:14:55.419510
3168,244,Feedback,Used An Asset,2023-08-10 09:21:15.419510
3030,10,Onboarding,Signup-Login,2023-08-10 09:22:52.419510
3261,106,Onboarding,Signup-Login,2023-08-10 09:25:31.419510
3025,97,Feedback,Used New Asset,2023-08-10 09:14:50.419510
3213,74,Onboarding,Signup-Login,2023-08-10 09:20:28.419510
3183,244,Engagement,New Assets Added,2023-08-10 09:24:56.419510
3063,79,Onboarding,Signup-Login,2023-08-10 09:25:37.419510
3169,36,Onboarding,Signup-Login,2023-08-10 09:30:59.419510
3290,118,Feedback,"New Asset, No Feedback",2023-08-10 09:25:51.419510
3238,258,Engagement,"Used, No Feedback",2023-08-10 09:28:36.419510
3055,294,Engagement,"Used, No Feedback",2023-08-10 09:18:31.419510
3191,106,Onboarding,Signup-Login,2023-08-10 09:22:08.419510
3018,5,Feedback,Negative Feedback Given,2023-08-10 09:20:39.419510
3199,158,Onboarding,Signup-Login,2023-08-10 09:19:18.419510
3004,305,Onboarding,Signup-Login,2023-08-10 09:29:37.419510
3263,101,Onboarding,Signup-Login,2023-08-10 09:23:36.419510
3001,154,Onboarding,Signup-Login,2023-08-10 09:23:32.419510
3131,293,Engagement,New Assets Added,2023-08-10 09:13:39.419510
3053,96,Feedback,Negative Feedback Given,2023-08-10 09:16:21.419510
3164,285,Feedback,Used New Asset,2023-08-10 09:22:58.419510
3158,35,Onboarding,Signup-Login,2023-08-10 09:18:35.419510
3039,26,Engagement,"Used, Not Rated",2023-08-10 09:16:38.419510
3001,168,Onboarding,Signup-Login,2023-08-10 09:27:49.419510
3271,176,Engagement,Long User Inactivity,2023-08-10 09:22:35.419510
3091,62,Feedback,Negative Feedback Given,2023-08-10 09:25:48.419510
3239,4,Engagement,New Assets Added,2023-08-10 09:25:27.419510
3056,13,Engagement,Near Top Contributor,2023-08-10 09:26:19.419510
3086,151,Onboarding,Signup-Login,2023-08-10 09:23:24.419510
3266,162,Feedback,Negative Feedback Given,2023-08-10 09:25:29.419510
3030,35,Engagement,Near Top Contributor,2023-08-10 09:16:15.419510
3297,178,Onboarding,Signup-Login,2023-08-10 09:14:33.419510
3187,164,Engagement,Near Top Contributor,2023-08-10 09:13:04.419510
3159,201,Onboarding,Signup-Login,2023-08-10 09:22:01.419510
3221,223,Engagement,Near Top Contributor,2023-08-10 09:28:54.419510
3273,257,Feedback,Frequent Portal Usage,2023-08-10 09:16:46.419510
3071,32,Engagement,Near Top Contributor,2023-08-10 09:32:15.419510
3211,30,Onboarding,Signup-Login,2023-08-10 09:14:13.419510
3097,37,Feedback,Frequent Portal Usage,2023-08-10 09:19:37.419510
3291,15,Feedback,Frequent Portal Usage,2023-08-10 09:25:30.420510
3293,101,Feedback,Frequent Portal Usage,2023-08-10 09:31:43.420510
3260,285,Onboarding,Signup-Login,2023-08-10 09:29:22.420510
3256,201,Onboarding,Signup-Login,2023-08-10 09:26:57.420510
3044,277,Feedback,Used New Asset,2023-08-10 09:27:34.420510
3201,35,Engagement,Long User Inactivity,2023-08-10 09:23:29.420510
3295,50,Engagement,Near Top Contributor,2023-08-10 09:24:16.420510
3125,205,Onboarding,Signup-Login,2023-08-10 09:25:19.420510
3256,15,Engagement,"Used, Not Rated",2023-08-10 09:15:43.420510
3056,36,Engagement,New Assets Added,2023-08-10 09:30:02.420510
3111,33,Engagement,"Used, No Feedback",2023-08-10 09:31:53.420510
3231,57,Feedback,"New Asset, No Feedback",2023-08-10 09:27:20.420510
3219,261,Feedback,Frequent Portal Usage,2023-08-10 09:29:41.420510
3062,160,Onboarding,Signup-Login,2023-08-10 09:17:32.420510
3113,150,Onboarding,Signup-Login,2023-08-10 09:18:11.420510
3097,206,Onboarding,Signup-Login,2023-08-10 09:27:48.420510
3071,219,Onboarding,Signup-Login,2023-08-10 09:23:18.420510
3033,105,Engagement,Long User Inactivity,2023-08-10 09:19:31.420510
3237,49,Engagement,"Used, Not Rated",2023-08-10 09:13:19.420510
3244,106,Feedback,Frequent Portal Usage,2023-08-10 09:15:38.420510
3102,13,Feedback,"New Asset, No Feedback",2023-08-10 09:28:03.420510
3212,139,Onboarding,Signup-Login,2023-08-10 09:26:12.420510
3094,255,Feedback,Used New Asset,2023-08-10 09:25:45.420510
3064,287,Feedback,Negative Feedback Given,2023-08-10 09:29:40.420510
3172,202,Feedback,"New Asset, No Feedback",2023-08-10 09:25:25.420510
3235,242,Onboarding,Signup-Login,2023-08-10 09:15:20.420510
3081,61,Feedback,Frequent Portal Usage,2023-08-10 09:19:06.420510
3229,108,Feedback,Negative Feedback Given,2023-08-10 09:16:34.420510
3079,77,Engagement,"Used, Not Rated",2023-08-10 09:18:23.420510
3096,146,Engagement,"Used, Not Rated",2023-08-10 09:25:16.420510
3272,310,Onboarding,Signup-Login,2023-08-10 09:27:40.420510
3202,175,Feedback,Frequent Portal Usage,2023-08-10 09:25:14.420510
3032,196,Onboarding,Signup-Login,2023-08-10 09:18:00.420510
3061,131,Engagement,"Used, No Feedback",2023-08-10 09:13:53.420510
3036,186,Feedback,Used An Asset,2023-08-10 09:13:17.420510
3044,217,Engagement,Long User Inactivity,2023-08-10 09:29:37.420510
3232,154,Feedback,Used An Asset,2023-08-10 09:17:04.420510
3072,153,Onboarding,Signup-Login,2023-08-10 09:20:16.420510
3050,88,Engagement,New Assets Added,2023-08-10 09:19:51.420510
3251,114,Engagement,Long User Inactivity,2023-08-10 09:22:47.420510
3285,203,Onboarding,Signup-Login,2023-08-10 09:22:00.420510
3136,269,Onboarding,Signup-Login,2023-08-10 09:19:32.420510
3109,130,Engagement,Near Top Contributor,2023-08-10 09:22:47.420510
3224,130,Feedback,Used New Asset,2023-08-10 09:31:03.420510
3177,151,Onboarding,Signup-Login,2023-08-10 09:22:53.420510
3178,251,Feedback,"New Asset, No Feedback",2023-08-10 09:24:01.420510
3048,128,Engagement,"Used, No Feedback",2023-08-10 09:17:02.420510
3248,293,Feedback,Used New Asset,2023-08-10 09:12:38.420510
3005,13,Feedback,Used New Asset,2023-08-10 09:26:17.420510
3205,310,Onboarding,Signup-Login,2023-08-10 09:18:02.420510
3270,163,Feedback,Used An Asset,2023-08-10 09:14:06.420510
3222,111,Onboarding,Signup-Login,2023-08-10 09:25:51.420510
3135,273,Engagement,Near Top Contributor,2023-08-10 09:32:20.420510
3028,180,Feedback,Negative Feedback Given,2023-08-10 09:30:49.420510
3296,306,Engagement,New Assets Added,2023-08-10 09:16:41.420510
3252,159,Feedback,Negative Feedback Given,2023-08-10 09:24:02.420510
3199,63,Onboarding,Signup-Login,2023-08-10 09:29:08.420510
3172,280,Onboarding,Signup-Login,2023-08-10 09:20:13.420510
3279,103,Onboarding,Signup-Login,2023-08-10 09:15:59.420510
