userId,nudgeId,action
3012,4,1
3140,1,1
3125,1,1
3114,1,0
3071,2,1
3052,4,0
3279,2,0
3044,4,2
3216,5,2
3016,3,1
3015,1,2
3047,5,1
3111,5,0
3119,2,2
3258,3,2
3013,1,2
3287,3,1
3101,2,2
3214,4,0
3112,1,0
3229,1,0
3142,1,2
3003,5,1
3081,4,1
3174,2,0
3079,3,0
3110,3,1
3172,3,0
3194,5,1
3049,3,1
3183,3,0
3176,1,1
3135,5,2
3022,4,0
3235,4,0
3274,5,1
3063,3,0
3193,5,0
3040,4,2
3282,1,2
3150,5,1
3185,4,0
3295,1,1
3098,3,2
3035,5,0
3023,4,1
3116,4,0
3148,5,1
3051,3,1
3232,5,2
3186,3,2
3083,4,2
3189,3,2
3181,1,1
3107,4,0
3136,4,2
3036,3,2
3087,1,1
3151,3,1
3156,4,0
3228,3,2
3218,2,2
3085,3,2
3227,3,2
3179,5,1
3298,5,0
3021,3,1
3180,4,1
3222,3,1
3029,1,1
3038,4,0
3207,1,1
3262,4,0
3073,4,0
3224,5,1
3017,2,1
3064,5,2
3034,5,0
3120,2,0
3187,5,2
3196,1,1
3078,1,0
3230,1,2
3190,4,0
3039,4,0
3070,4,0
3275,2,1
3203,1,2
3160,5,2
3127,2,1
3058,2,0
3095,5,2
3255,5,0
3198,2,0
3233,5,0
3143,3,1
3030,5,0
3067,3,0
3256,5,2
3066,1,0
3291,2,2
3054,1,1
3299,3,0
3281,3,2
3177,4,0
3234,3,1
3031,4,1
3277,3,1
3297,2,1
3018,4,2
3115,4,2
3270,3,2
3182,3,2
3113,2,0
3286,4,2
3283,5,1
3170,2,0
3088,1,1
3272,1,0
3289,2,1
3138,5,2
3074,4,0
3076,2,2
3217,5,2
3223,3,1
3294,1,0
3163,4,2
3242,4,0
3263,3,1
3092,3,1
3130,2,1
3057,1,1
3239,5,1
3240,5,2
3202,1,0
3060,1,2
3126,4,0
3006,1,0
3209,1,2
3141,1,0
3146,1,1
3094,4,2
3250,2,1
3033,1,2
3245,4,0
3254,4,0
3290,2,0
3184,3,2
3122,2,2
3134,2,0
3105,1,2
3104,1,2
3147,4,2
3236,4,1
3032,3,1
3226,4,2
3164,1,2
3248,4,2
3195,4,2
3132,1,2
3280,3,0
3213,3,0
3212,3,1
3046,5,1
3128,5,0
3014,4,2
3206,5,1
3173,1,0
3266,1,2
3077,3,2
3042,2,1
3041,3,2
3082,4,1
3161,5,2
3072,4,0
3020,2,2
3278,1,1
3050,5,1
3225,3,2
3265,5,2
3171,1,0
3159,2,2
3243,2,1
3043,5,0
3284,4,2
3086,5,1
3010,3,1
3007,5,0
3300,1,2
3011,5,0
3251,1,2
3269,3,2
3059,1,2
3008,2,1
3178,1,0
3267,3,0
3175,1,0
3155,2,1
3065,5,0
3157,1,1
3009,1,0
3247,3,0
3220,4,2
3100,4,2
3055,1,0
3129,3,1
3260,4,2
3002,2,1
3024,4,0
3200,4,1
3154,2,0
3089,4,0
3037,3,0
3191,3,2
3238,3,1
3090,4,2
3199,2,0
3061,2,1
3145,5,0
3025,5,1
3231,2,1
3261,4,1
3276,3,2
3137,1,0
3001,2,2
3221,3,1
3121,5,2
3093,4,0
3027,5,1
3097,5,1
3108,5,1
3131,3,0
3028,2,1
3080,5,1
3211,4,2
3133,4,1
3153,5,0
3268,1,0
3109,3,2
3048,2,0
3219,3,0
3045,1,2
3026,4,2
3197,2,2
3259,1,2
3102,2,2
3149,2,1
3208,4,1
3241,2,2
3103,1,0
3293,5,0
3188,1,1
3069,2,0
3096,4,2
3152,3,0
3257,3,1
3253,4,0
3062,5,1
3167,1,2
3204,3,1
3168,1,0
3296,5,2
3117,1,1
3019,3,2
3271,5,1
3169,3,2
3246,4,0
3106,4,2
3273,3,2
3201,3,1
3139,5,2
3285,2,2
3004,2,2
3210,2,2
3249,5,0
3288,3,0
3162,2,0
3192,4,1
3244,5,1
3165,3,0
3053,4,1
3237,5,1
3166,1,0
3292,2,2
3144,3,2
3099,3,1
3118,2,0
3215,5,2
3123,1,0
3084,1,2
3264,2,0
3056,5,2
3252,2,2
3205,5,1
3000,4,0
3091,4,0
3068,3,0
3075,4,1
3005,1,1
3158,3,1
3124,4,0
