userId,User_Type,Role,Area_of_Interest,Level_of_Expertise
3000,Red,Architect,Mobile Development,Beginner
3001,Red,Tester,Cloud Computing,Expert
3002,Red,Analyst,Mobile Development,Advanced
3003,Red,Tester,Data Science,Advanced
3004,Red,Tester,Web Development,Expert
3005,Red,Manager,Cloud Computing,Beginner
3006,Red,Analyst,Web Development,Intermediate
3007,Blue,Analyst,Mobile Development,Advanced
3008,Blue,Analyst,Mobile Development,Beginner
3009,Red,Tester,Cloud Computing,Beginner
3010,Red,Architect,Data Science,Intermediate
3011,Red,Analyst,Machine Learning,Advanced
3012,Red,Tester,Cloud Computing,Advanced
3013,Blue,Manager,Machine Learning,Beginner
3014,Red,Architect,Machine Learning,Beginner
3015,Red,Manager,Data Science,Intermediate
3016,Red,Architect,Machine Learning,Intermediate
3017,Blue,Tester,Machine Learning,Advanced
3018,Red,Developer,Data Science,Expert
3019,Red,Architect,Machine Learning,Advanced
3020,Blue,Manager,Machine Learning,Beginner
3021,Red,Tester,Machine Learning,Advanced
3022,Red,Architect,Cloud Computing,Expert
3023,Red,Developer,Cloud Computing,Intermediate
3024,Red,Developer,Cloud Computing,Expert
3025,Red,Analyst,Data Science,Expert
3026,Red,Analyst,Mobile Development,Expert
3027,Blue,Manager,Machine Learning,Intermediate
3028,Red,Architect,Machine Learning,Expert
3029,Red,Architect,Data Science,Expert
3030,Red,Analyst,Machine Learning,Expert
3031,Red,Architect,Cloud Computing,Beginner
3032,Red,Architect,Mobile Development,Expert
3033,Red,Developer,Web Development,Intermediate
3034,Red,Analyst,Machine Learning,Expert
3035,Red,Tester,Cloud Computing,Expert
3036,Red,Analyst,Web Development,Intermediate
3037,Red,Tester,Mobile Development,Expert
3038,Blue,Developer,Web Development,Intermediate
3039,Red,Manager,Cloud Computing,Expert
3040,Red,Architect,Web Development,Intermediate
3041,Red,Developer,Data Science,Expert
3042,Red,Architect,Web Development,Expert
3043,Red,Manager,Machine Learning,Beginner
3044,Red,Manager,Machine Learning,Beginner
3045,Red,Developer,Data Science,Expert
3046,Red,Manager,Cloud Computing,Expert
3047,Red,Tester,Machine Learning,Advanced
3048,Blue,Manager,Mobile Development,Intermediate
3049,Red,Architect,Machine Learning,Advanced
3050,Red,Architect,Machine Learning,Beginner
3051,Red,Architect,Cloud Computing,Beginner
3052,Blue,Architect,Web Development,Beginner
3053,Red,Tester,Machine Learning,Beginner
3054,Red,Analyst,Data Science,Expert
3055,Red,Developer,Web Development,Beginner
3056,Red,Architect,Mobile Development,Expert
3057,Red,Manager,Cloud Computing,Expert
3058,Blue,Architect,Mobile Development,Beginner
3059,Red,Manager,Web Development,Beginner
3060,Red,Manager,Web Development,Intermediate
3061,Red,Architect,Web Development,Advanced
3062,Red,Tester,Mobile Development,Beginner
3063,Red,Manager,Web Development,Intermediate
3064,Red,Manager,Mobile Development,Intermediate
3065,Red,Architect,Web Development,Advanced
3066,Red,Manager,Data Science,Expert
3067,Red,Manager,Web Development,Beginner
3068,Red,Architect,Mobile Development,Advanced
3069,Red,Architect,Machine Learning,Beginner
3070,Blue,Developer,Web Development,Intermediate
3071,Red,Tester,Machine Learning,Intermediate
3072,Blue,Tester,Data Science,Expert
3073,Red,Manager,Cloud Computing,Intermediate
3074,Red,Tester,Data Science,Intermediate
3075,Red,Manager,Web Development,Advanced
3076,Red,Developer,Machine Learning,Beginner
3077,Red,Architect,Machine Learning,Beginner
3078,Red,Architect,Mobile Development,Advanced
3079,Red,Architect,Machine Learning,Expert
3080,Red,Tester,Mobile Development,Beginner
3081,Blue,Developer,Cloud Computing,Intermediate
3082,Red,Tester,Web Development,Beginner
3083,Red,Tester,Mobile Development,Intermediate
3084,Red,Developer,Cloud Computing,Expert
3085,Red,Developer,Machine Learning,Advanced
3086,Red,Developer,Machine Learning,Beginner
3087,Red,Developer,Cloud Computing,Advanced
3088,Red,Architect,Machine Learning,Beginner
3089,Red,Analyst,Cloud Computing,Intermediate
3090,Red,Analyst,Mobile Development,Advanced
3091,Red,Developer,Mobile Development,Beginner
3092,Red,Analyst,Cloud Computing,Intermediate
3093,Red,Analyst,Mobile Development,Advanced
3094,Red,Developer,Mobile Development,Advanced
3095,Red,Analyst,Mobile Development,Beginner
3096,Red,Tester,Data Science,Beginner
3097,Red,Manager,Web Development,Beginner
3098,Red,Manager,Machine Learning,Intermediate
3099,Red,Developer,Data Science,Beginner
3100,Blue,Architect,Mobile Development,Advanced
3101,Red,Developer,Cloud Computing,Advanced
3102,Red,Architect,Mobile Development,Beginner
3103,Blue,Manager,Web Development,Beginner
3104,Red,Developer,Mobile Development,Expert
3105,Red,Tester,Cloud Computing,Advanced
3106,Red,Analyst,Web Development,Intermediate
3107,Red,Architect,Mobile Development,Expert
3108,Red,Analyst,Web Development,Beginner
3109,Red,Analyst,Machine Learning,Beginner
3110,Red,Developer,Machine Learning,Advanced
3111,Red,Analyst,Mobile Development,Beginner
3112,Red,Tester,Web Development,Intermediate
3113,Red,Analyst,Cloud Computing,Advanced
3114,Red,Developer,Mobile Development,Beginner
3115,Red,Tester,Machine Learning,Advanced
3116,Red,Manager,Machine Learning,Beginner
3117,Red,Analyst,Mobile Development,Beginner
3118,Red,Developer,Web Development,Beginner
3119,Blue,Manager,Machine Learning,Intermediate
3120,Blue,Manager,Web Development,Intermediate
3121,Red,Architect,Machine Learning,Advanced
3122,Blue,Tester,Machine Learning,Beginner
3123,Red,Analyst,Data Science,Beginner
3124,Red,Developer,Machine Learning,Intermediate
